sequence,superkingdom,phylum,class,order,family,genus,species
GCF_000012745.1,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Thiobacillus,Thiobacillus denitrificans
GCF_000012805.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus oceani
GCF_000012865.1,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,Carboxydothermus hydrogenoformans
GCF_000012885.1,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Syntrophotaleaceae,Syntrophotalea,Syntrophotalea carbinolica
GCF_000012925.1,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Geobacter metallireducens
GCF_000012965.1,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,Sulfurimonas denitrificans
GCF_000013005.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter litoralis
GCF_000013025.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas neptunium
GCF_000013185.1,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Candidatus Baumannia,Candidatus Baumannia cicadellinicola
GCF_000013205.1,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. JA-3-3Ab
GCF_000013225.1,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. JA-2-3B'a(2-13)
GCF_000013325.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium aromaticivorans
GCF_000013345.1,Bacteria,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia casuarinae
GCF_000013365.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris
GCF_000013405.1,Bacteria,Thermodesulfobacteriota,Syntrophia,Syntrophales,Syntrophaceae,Syntrophus,Syntrophus aciditrophicus
GCF_000013565.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Jannaschia,Jannaschia sp. CCS1
GCF_000013605.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax ferrireducens
GCF_000013625.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. Marseille
GCF_000013705.1,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus
GCF_000013765.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella denitrificans
GCF_000013865.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas sp. JS666
GCF_000013885.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter hamburgensis
GCF_000013985.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis alaskensis
GCF_000014005.1,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Candidatus Koribacter,Candidatus Koribacter versatilis
GCF_000014065.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria sp. TM1040
GCF_000014125.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium novyi
GCF_000014145.1,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga hutchinsonii
GCF_000014185.1,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter xylanophilus
GCF_000014565.1,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus jostii
GCF_000014725.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas wolfei
GCF_000014745.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Maricaulis,Maricaulis maris
GCF_000014765.1,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas eutropha
GCF_000014785.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,Alkalilimnicola ehrlichii
GCF_000014865.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus
GCF_000015025.1,Bacteria,Actinomycetota,Actinomycetes,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus
GCF_000015045.1,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter propionicus
GCF_000015105.1,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Candidatus Ruthturnera,Candidatus Ruthturnera calyptogenae
GCF_000015125.1,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeobacteroides
GCF_000015165.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium sp. BTAi1
GCF_000015265.1,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. JS614
GCF_000015365.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter nauticus
GCF_000015505.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas naphthalenivorans
GCF_000015565.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,Verminephrobacter eiseniae
GCF_000015585.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,Halorhodospira halophila
GCF_000015725.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Methylibium,Methylibium petroleiphilum
GCF_000016165.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulforamulus,Desulforamulus reducens
GCF_000016185.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum centenum
GCF_000016285.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Allorhizobium,Allorhizobium ampelinum
GCF_000016425.1,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Salinispora,Salinispora tropica
GCF_000016545.1,Bacteria,Bacillota,Clostridia,Caldicellulosiruptorales,Caldicellulosiruptoraceae,Caldicellulosiruptor,Caldicellulosiruptor saccharolyticus
GCF_000016665.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Roseiflexus sp. RS-1
GCF_000016725.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium cryptum
GCF_000016745.1,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geotalea,Geotalea uraniireducens
GCF_000016985.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Alkaliphilus,Alkaliphilus metalliredigens
GCF_000017265.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium zucineum
GCF_000017305.1,Bacteria,Actinomycetota,Actinomycetes,Kineosporiales,Kineosporiaceae,Kineococcus,Kineococcus radiotolerans
GCF_000017505.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter sp. Fw109-5
GCF_000017545.1,Bacteria,Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,Fervidobacterium nodosum
GCF_000017565.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Parvibaculum,Parvibaculum lavamentivorans
GCF_000017805.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Roseiflexus castenholzii
GCF_000017845.1,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera subtropica
GCF_000018025.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sediminis
GCF_000018205.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia akari
GCF_000018325.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Alkaliphilus,Alkaliphilus oremlandii
GCF_000018405.1,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfosudaceae,Desulfosudis,Desulfosudis oleivorans
GCF_000018545.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii
GCF_000018605.1,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Petrotoga,Petrotoga mobilis
GCF_000018685.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phytofermentans
GCF_000018865.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aurantiacus
GCF_000019045.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus flavithermus
GCF_000019065.1,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter sp. X514
GCF_000019165.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Heliobacteriaceae,Heliomicrobium,Heliomicrobium modesticaldum
GCF_000019405.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,Histophilus somni
GCF_000019525.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella woodyi
GCF_000019705.1,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia recurrentis
GCF_000019785.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Leptothrix,Leptothrix cholodnii
GCF_000019845.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Beijerinckia,Beijerinckia indica
GCF_000019965.1,Bacteria,Verrucomicrobiota,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae
GCF_000020005.1,Bacteria,Bacillota,Clostridia,Natranaerobiales,Natranaerobiaceae,Natranaerobius,Natranaerobius thermophilus
GCF_000020045.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phymatum
GCF_000020125.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phytofirmans
GCF_000020145.1,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,Elusimicrobium minutum
GCF_000020325.1,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,Sulfurihydrogenibium sp. YO3AOP1
GCF_000020365.1,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulforapulum,Desulforapulum autotrophicum
GCF_000020385.1,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Trichlorobacter,Trichlorobacter lovleyi
GCF_000020465.1,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium limicola
GCF_000020485.1,Bacteria,Bacillota,Clostridia,Halanaerobiales,Halothermotrichaceae,Halothermothrix,Halothermothrix orenii
GCF_000020505.1,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum parvum
GCF_000020525.1,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chloroherpetonaceae,Chloroherpeton,Chloroherpeton thalassium
GCF_000020565.1,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,Candidatus Amoebophilus asiaticus
GCF_000020625.1,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Prosthecochloris,Prosthecochloris aestuarii
GCF_000020645.1,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon phaeoclathratiforme
GCF_000020685.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus deserti
GCF_000020725.1,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Citrifermentans,Citrifermentans bemidjiense
GCF_000020985.1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii
GCF_000021025.1,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,Laribacter,Laribacter hongkongensis
GCF_000021285.1,Bacteria,Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,Thermosipho africanus
GCF_000021525.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia peacockii
GCF_000021545.1,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,Sulfurihydrogenibium azorense
GCF_000021565.1,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,Persephonella marina
GCF_000021685.1,Bacteria,Thermomicrobiota,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,Thermomicrobium roseum
GCF_000021745.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocella,Methylocella silvestris
GCF_000021765.1,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera sp. MZ1T
GCF_000021805.1,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Rippkaea,Rippkaea orientalis
GCF_000021825.1,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Gloeothece,Gloeothece citriformis
GCF_000021905.1,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,Desulfatibacillum,Desulfatibacillum aliphaticivorans
GCF_000021945.1,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aggregans
GCF_000021985.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio sulfidiphilus
GCF_000022065.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Ruminiclostridium cellulolyticum
GCF_000022085.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium nodulans
GCF_000022265.1,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geotalea,Geotalea daltonii
GCF_000022325.1,Bacteria,Bacillota,Clostridia,Caldicellulosiruptorales,Caldicellulosiruptoraceae,Caldicellulosiruptor,Caldicellulosiruptor bescii
GCF_000022565.1,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum
GCF_000022685.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum extorquens
GCF_000023025.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter,Teredinibacter turnerae
GCF_000023065.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,Tolumonas auensis
GCF_000023105.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Beutenbergiaceae,Beutenbergia,Beutenbergia cavernae
GCF_000023125.1,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomaceae,Dyadobacter,Dyadobacter fermentans
GCF_000023225.1,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium baculatum
GCF_000023265.1,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans
GCF_000023325.1,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,Kosmotoga olearia
GCF_000023405.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium faecium
GCF_000023445.1,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Maridesulfovibrio,Maridesulfovibrio salexigens
GCF_000023465.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zunongwangia,Zunongwangia profunda
GCF_000023585.1,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. JDR-2
GCF_000023705.1,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,Methylotenera mobilis
GCF_000023785.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hirschia,Hirschia baltica
GCF_000023825.1,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter heparinus
GCF_000023845.1,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Cryptobacterium,Cryptobacterium curtum
GCF_000023865.1,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora viridis
GCF_000023905.1,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia buccalis
GCF_000024005.1,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga pinensis
GCF_000024025.1,Bacteria,Actinomycetota,Actinomycetes,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora acidiphila
GCF_000024085.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Kangiellales,Kangiellaceae,Kangiella,Kangiella koreensis
GCF_000024105.1,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus prevotii
GCF_000024125.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Robiginitalea biformata
GCF_000024205.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulfofarcimen,Desulfofarcimen acetoxidans
GCF_000024225.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella parvula
GCF_000024285.1,Bacteria,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius
GCF_000024325.1,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,Desulfohalobium retbaense
GCF_000024345.1,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Kribbellaceae,Kribbella,Kribbella flavida
GCF_000024365.1,Bacteria,Actinomycetota,Actinomycetes,Nakamurellales,Nakamurellaceae,Nakamurella,Nakamurella multipartita
GCF_000024385.1,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Thermomonospora,Thermomonospora curvata
GCF_000024405.1,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sebaldella,Sebaldella termitidis
GCF_000024465.1,Bacteria,Pseudomonadota,Alphaproteobacteria,,,Candidatus Puniceispirillum,Candidatus Puniceispirillum marinum
GCF_000024545.1,Bacteria,Actinomycetota,Actinomycetes,Glycomycetales,Glycomycetaceae,Stackebrandtia,Stackebrandtia nassauensis
GCF_000024605.1,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,Ammonifex degensii
GCF_000024725.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus halophilus
GCF_000024765.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus neapolitanus
GCF_000024805.1,Bacteria,Myxococcota,,Haliangiales,Kofleriaceae,Haliangium,Haliangium ochraceum
GCF_000024865.1,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium roseum
GCF_000024885.1,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Sulfurospirillum deleyianum
GCF_000024925.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Sanguibacteraceae,Sanguibacter,Sanguibacter keddieii
GCF_000024965.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,Xylanimonas,Xylanimonas cellulosilytica
GCF_000024985.1,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus
GCF_000025005.1,Bacteria,Chloroflexota,,,,Thermobaculum,Thermobaculum terrenum
GCF_000025185.1,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi
GCF_000025225.2,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Mageeibacillus,Mageeibacillus indolicus
